Trail number: 0 , Gold collected: 20 ,Reward: 0
Trail number: 1 , Gold collected: 60 ,Reward: 5
Trail number: 2 , Gold collected: 60 ,Reward: -5
Trail number: 3 , Gold collected: 100 ,Reward: 5
Trail number: 4 , Gold collected: 100 ,Reward: 5
Trail number: 5 , Gold collected: 100 ,Reward: 5
Trail number: 6 , Gold collected: 100 ,Reward: 5
Trail number: 7 , Gold collected: 100 ,Reward: 5
Trail number: 8 , Gold collected: 100 ,Reward: 5
Trail number: 9 , Gold collected: 100 ,Reward: 5
Trail number: 10 , Gold collected: 100 ,Reward: 5
Trail number: 11 , Gold collected: 100 ,Reward: 5
Trail number: 12 , Gold collected: 100 ,Reward: 5
Trail number: 13 , Gold collected: 100 ,Reward: 5
Trail number: 14 , Gold collected: 100 ,Reward: 5
Trail number: 15 , Gold collected: 100 ,Reward: 5
Trail number: 16 , Gold collected: 100 ,Reward: 5
Trail number: 17 , Gold collected: 100 ,Reward: 5
Trail number: 18 , Gold collected: 100 ,Reward: 5
Trail number: 19 , Gold collected: 100 ,Reward: 5
Trail number: 20 , Gold collected: 100 ,Reward: 5
Trail number: 21 , Gold collected: 100 ,Reward: 5
Trail number: 22 , Gold collected: 100 ,Reward: 5
Trail number: 23 , Gold collected: 100 ,Reward: 5
Trail number: 24 , Gold collected: 100 ,Reward: 5
Trail number: 25 , Gold collected: 70 ,Reward: 5
Trail number: 26 , Gold collected: 100 ,Reward: 5
Trail number: 27 , Gold collected: 100 ,Reward: 5
Trail number: 28 , Gold collected: 100 ,Reward: 5
Trail number: 29 , Gold collected: 100 ,Reward: 5
Trail number: 30 , Gold collected: 100 ,Reward: 5
Trail number: 31 , Gold collected: 100 ,Reward: 5
Trail number: 32 , Gold collected: 100 ,Reward: 5
Trail number: 33 , Gold collected: 100 ,Reward: 5
Trail number: 34 , Gold collected: 100 ,Reward: 5
Trail number: 35 , Gold collected: 100 ,Reward: 5
